epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc_roc
1,0.6373519342699816,0.6106523110896727,0.7393094710167881,0.7297297297297297,0.9072675175827039,0.8088713423130516,0.81833933237033
2,0.6064922448730309,0.6282535251960912,0.7057332910991447,0.6804189435336976,0.9730398541286793,0.8008361024761497,0.8175842956788515
3,0.6001810756247162,0.6074237784771602,0.7186411149825784,0.694044594976009,0.9607970825735869,0.8059212323155077,0.8220736539660738
4,0.5492802507009522,0.6926591305648673,0.7159486854608805,0.6943837308752256,0.9516801250325606,0.802922916323279,0.8107448409597406
5,0.44643904374879995,0.6992688678545418,0.721967057332911,0.7136703927802277,0.9063558218286012,0.7985541339147398,0.8008788852315811
6,0.4072911142300035,0.7958351780973593,0.7187994931897371,0.7547216393037897,0.7963011200833551,0.7749540528550605,0.7878036946700662
7,0.38285177932718933,0.8370467150082467,0.723788406715236,0.7221162001696353,0.8870799687418599,0.7961426066627703,0.7951214147202685
8,0.36990759343711166,0.8309230995869199,0.7200665188470067,0.7524680073126142,0.8041156551185205,0.7774349933891582,0.7876652300551753
9,0.35839045587227175,0.806553173736243,0.7222838137472284,0.7354634752173422,0.8483980203177911,0.7879044451164197,0.7927940120138609
10,0.3485043911045011,0.8569969329512822,0.727668672790624,0.7288629737609329,0.8791351914561084,0.7969773894562843,0.7934194905554635
11,0.3403897467986025,0.8345385146506736,0.7251346214760849,0.7313826861731383,0.8659807241469133,0.7930109129942156,0.7915774967702552
12,0.3306300465583768,0.9251843857719806,0.7214127336078555,0.7405736756881796,0.8339411305027351,0.7844890958098505,0.7860703808072914
13,0.32314116212127253,1.0206057785725255,0.7251346214760849,0.7468027689780594,0.8289919249804637,0.78575396580458,0.7888320953741637
