epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc_roc,lr
1,1.0255391306321446,0.9526181432667438,0.6473873155165536,0.5033438803394218,0.9201393453398186,0.6507228187607493,0.8473984533541747,0.001
2,0.9374511029260854,0.9084124723980734,0.6863840071329689,0.5358445185817363,0.9079137636387538,0.6739363778298204,0.8611890744289215,0.001
3,0.9118174951678762,0.9056489661828175,0.6820197564466552,0.5319713758079408,0.9088339687130275,0.6711158569140416,0.8634170682295594,0.001
4,0.8963371484229962,0.8744272874729769,0.6874633379478636,0.5362640729110821,0.9204679900092021,0.6777003484320557,0.8718609865067527,0.001
5,0.8857164004972825,0.865334504493722,0.6894577535840822,0.5379715261521931,0.9214539240173525,0.6793303127952899,0.874151940255529,0.001
6,0.8774627537932247,0.8575004300287178,0.6843426640700158,0.5331800881787693,0.9299986854213225,0.6777801729299897,0.8773179762434216,0.001
7,0.8661078486669188,0.8513682928529229,0.7174734273446115,0.5653015023667421,0.9027211778624951,0.695233997317067,0.8782084803779885,0.001
8,0.854641022781531,0.8519310753893208,0.7040991107252634,0.5516693794910477,0.9133692651505193,0.6878697126451007,0.8778667211014005,0.001
9,0.8453446184284985,0.8302646986357085,0.6978577629695676,0.5450584197740331,0.9290784803470488,0.6870488735509271,0.8850826271820094,0.001
10,0.8411475684649,0.8302578623140896,0.689528144724184,0.5374216448908693,0.9354541869330879,0.6826554105909439,0.8851394651413236,0.001
11,0.8338503061483303,0.834239076789435,0.7209225932096014,0.5683015141540487,0.9078480347048771,0.6990232299205426,0.8856769181977814,0.001
12,0.8274569545174018,0.8190532526051676,0.7229170088458199,0.5700934579439252,0.9101485473905613,0.7010606789357771,0.8880575012207401,0.001
13,0.8229768374779572,0.821732694232786,0.7060700626481147,0.5524948228031102,0.9294071250164322,0.6930183546940476,0.8873563374288659,0.001
14,0.8184494862798601,0.805898540728801,0.7110443698819775,0.5572766428260956,0.9269751544629946,0.6960835122529059,0.8919949317847351,0.001
15,0.8120460909170409,0.8049796598183142,0.7303080785565124,0.5774612693653174,0.9113973971342185,0.7069800642431041,0.8928487279706439,0.001
16,0.8064190185784051,0.8207999243213607,0.7304957882634505,0.5772930834300879,0.9150782174313132,0.7079583015509789,0.890823042815763,0.001
17,0.8007947974062214,0.7992872764264141,0.6984443558037495,0.5449083580500418,0.9418956224530038,0.6904027751011755,0.8949490030536071,0.001
18,0.7953606224618852,0.79449798656745,0.7328421596001783,0.5794718485301444,0.9173130011831208,0.7102651534429233,0.8969317179629368,0.001
19,0.789843162172474,0.801861989762153,0.7261550012905043,0.5723386010045326,0.9212567372157223,0.7060423645568344,0.8951129620263766,0.001
20,0.785165863771302,0.790745223987031,0.7342969098289496,0.5811295570201052,0.9157355067700802,0.7110339899969378,0.8976505761612946,0.001
21,0.7821981533197686,0.7912101755226338,0.7303550059832469,0.5765717577353522,0.9210595504140923,0.7091958095045295,0.8970719936531826,0.001
22,0.776665871264413,0.7999762070026841,0.699077876064666,0.5456945028881833,0.9376232417510187,0.6898803046789989,0.8957884050706904,0.001
23,0.7730482901291301,0.786600566930599,0.7141650437598255,0.5594976452119309,0.9370316813461286,0.7006438295571829,0.899239428332641,0.001
24,0.7657763519091532,0.7826500562867066,0.7401628381707689,0.5869747899159664,0.9182332062573945,0.7161531757830523,0.9001699178684532,0.001
25,0.7618545113364235,0.7802746473803176,0.7200075083882775,0.5651431521264345,0.9354541869330879,0.7046067777310197,0.9017727336907039,0.001
26,0.7561208499246277,0.7804772055430992,0.733663389568033,0.5793973773995972,0.926449322991981,0.712930881869452,0.9019346444055082,0.001
27,0.7532642438503293,0.8133492716909708,0.7470142424740139,0.5956987389877354,0.9066649138950966,0.7189992181391712,0.8947155915866676,0.001
28,0.7489089170703664,0.7778093069568053,0.737042164292921,0.5831224328921711,0.9238201656369134,0.7149579062492052,0.9022687490974415,0.001
29,0.7420943545682045,0.7821772482257348,0.7442924517234097,0.5910779100194142,0.9205337189430788,0.7199033617764984,0.9020789794360417,0.001
30,0.736670675726297,0.779305092900902,0.7432365846218822,0.5898061314605324,0.9218482976206126,0.7193598851075834,0.9035320133965664,0.001
31,0.7327394586172886,0.8044078912552413,0.771627677796288,0.6283546438105944,0.8818193768897068,0.7338164911800903,0.9013399048836012,0.001
32,0.729730312518465,0.7798503961626653,0.7335929984279312,0.5793389788703445,0.9263178651242276,0.7128477491148204,0.9040158963525826,0.001
33,0.725312689358058,0.7699495255947113,0.7385673056617941,0.5840697002229747,0.9297357696858157,0.7174376141205112,0.9063248527059082,0.001
34,0.7211095977496976,0.7764187994617242,0.7226823717121471,0.5673050235914515,0.9404495859077165,0.7077037220229999,0.9062545020002533,0.001
35,0.7166804954758845,0.78812862655243,0.7518243037143059,0.600198798565193,0.9128434336795057,0.7242197481292206,0.9050952359606368,0.001
36,0.7124225849014086,0.7939343296506025,0.7543583847579718,0.6037884421890721,0.9071907453661101,0.7250282352323169,0.9025447422645103,0.001
37,0.707892207816864,0.7799346294399496,0.7571036392219432,0.606120132704732,0.9126462468778757,0.7284507633387545,0.9071245895119551,0.0005
38,0.6725427483518919,0.7966042848320695,0.775170698514747,0.6302256751757307,0.8957539108715656,0.7398881589662848,0.9081513183909796,0.0005
39,0.6614225006778724,0.7700271722007621,0.753020953096037,0.59986366734833,0.9254633889838307,0.7279119061159076,0.911460484199069,0.0005
40,0.6536048541699225,0.8099609631206002,0.7773293601445365,0.6330667658545658,0.8949651636650453,0.7415718098142803,0.9089272711805044,0.0005
41,0.6511542913891996,0.8048760728972094,0.7501583800652292,0.5967782958880882,0.9253319311160773,0.7255952994536645,0.9081887638564112,0.0005
42,0.6442761103971861,0.7987240090988599,0.7661606325817124,0.6170801356416206,0.9090311555146575,0.7351299633232339,0.9091024200215826,0.0005
43,0.6383888608349176,0.8262565104855789,0.7718388512165936,0.6263114301490889,0.8946365189956619,0.7368050668543279,0.9057576375498161,0.0005
44,0.6358177834966531,0.8254920665745262,0.7679204110842582,0.6197417555225626,0.9054160641514395,0.7358243636655004,0.9082732784817524,0.0005
45,0.6308053876273334,0.8090970484321719,0.7704075647011897,0.6223243657338561,0.9077165768371237,0.738403956690282,0.9096567244368953,0.0005
46,0.6261819448748914,0.836471765998516,0.771111476102208,0.6240512657364905,0.902523991060865,0.7378885992960207,0.9072262445067892,0.00025
47,0.5987847573511923,0.8277289632808518,0.768577395058542,0.6194046503324854,0.9122518732746154,0.7378325934983121,0.9103389358465219,0.00025
48,0.5895917647867464,0.8580568676965462,0.7768366221638237,0.6323263260476124,0.8956224530038123,0.7412887958001251,0.9088223783071541,0.00025
