epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc_roc
1,0.4269516511481974,0.3923045022012312,0.7531911519860461,0.8469202898550725,0.7277208457646906,0.782808902532617,0.842168229037605
2,0.3808252789464366,0.3663417206582012,0.7628637120431301,0.8596036585365854,0.731482682578804,0.7903847501576845,0.8564412726422814
3,0.3677372771394627,0.3658392439466677,0.767858558629985,0.8426257703884191,0.7626151251783629,0.8006264469562849,0.8631910658438888
4,0.35875730432002,0.35630122540058873,0.7729326884959962,0.843860894251242,0.7711765468932417,0.8058831503321133,0.8688911019449946
5,0.35086497697862273,0.34967495317488345,0.7746769206374375,0.874211902198985,0.7374497340770528,0.8000281452293836,0.8724462593985083
6,0.3453966480149416,0.35173125215879747,0.7715055894711805,0.9005809128630705,0.7038526397716954,0.7901558176787534,0.8766560800420348
7,0.34328303709125035,0.3369558508809629,0.7822881154364545,0.8858653397605349,0.7390063562070307,0.8057991513437058,0.8836067332583237
8,0.33806687764689797,0.34076615717627023,0.7585824149686831,0.9271062271062271,0.656635101829031,0.768775153770218,0.8819739305999619
9,0.3357611658477596,0.37095588039627714,0.7456592404661857,0.9082169417739887,0.6495005837332988,0.7573740735138406,0.8697211655112973
10,0.3328327261529562,0.34547342496425154,0.7814159993657338,0.8491257755217146,0.7811648722272668,0.8137288021079657,0.8786385063580057
11,0.33033403344953544,0.33197912846638855,0.774201220962499,0.9050158306948842,0.7045012323258529,0.7922684172137127,0.8860037218420367
12,0.32843310234759154,0.3349124000850403,0.7748354871957505,0.9042005645027394,0.7064470099883253,0.7931838042528401,0.8861896234925514
13,0.32731559736478755,0.3229155812065059,0.7883929279314993,0.9030710172744721,0.7323907121546245,0.8088245827662774,0.8897540654479617
14,0.3250997413718246,0.3255564466519437,0.7898200269563149,0.8884792626728111,0.7502918666493709,0.8135593220338984,0.8891174554560812
15,0.32299822710888804,0.3235523168894437,0.7932292079600413,0.8895677409500534,0.7554806070826307,0.8170594837261503,0.8889596453754082
16,0.3211140418132859,0.32497106933111064,0.7908507095853484,0.8993542290124429,0.7406926968478402,0.8123488405178546,0.894029274378351
17,0.32048706924166914,0.3176232555519503,0.7846666138111472,0.9136702568351284,0.715267868724867,0.8023864959254947,0.8945135497650359
18,0.3184150038203517,0.32177281677268277,0.7953698564972648,0.8874282260501662,0.761836814113374,0.8198506316744608,0.8911961522696401
19,0.31817952586930964,0.3208610939211485,0.7814952826448902,0.9067170307111184,0.7161758983006875,0.8002609073778808,0.8925175141150878
20,0.3172971479586355,0.328261813370488,0.7876793784190914,0.8932312021259966,0.7412115708911662,0.8101517084928399,0.8907691313113187
21,0.31610150413896737,0.31801501084590683,0.796717672242924,0.8943737544074812,0.7567777921909457,0.8198426082068578,0.8959931581421008
22,0.31488352902066546,0.31760221229797175,0.7933084912391977,0.8973520249221184,0.7473083409002464,0.8154858801047491,0.8960153510113071
23,0.3151531966628649,0.360628321547608,0.7237770554190122,0.9319157636475158,0.5912569723699572,0.7234920634920635,0.8782190902267364
24,0.3133923136023596,0.314600994028688,0.7826052485530801,0.9279682922626228,0.6985341808276041,0.7970692717584369,0.8978853845963394
25,0.3115272829309106,0.32188838992409524,0.7975897883136447,0.8898971566848155,0.7632637177325204,0.8217303260945464,0.8962847999531067
26,0.31102855904487214,0.32080939548607584,0.7762625862205661,0.9271106449921342,0.688026981450253,0.789873417721519,0.8958479522356552
27,0.3116512715382159,0.3212325371259564,0.7961626892888289,0.8899514268366727,0.760539629005059,0.8201720640693851,0.8966406529560057
28,0.30735586874287224,0.32560800736463524,0.7925156584476334,0.9063198212575806,0.7366714230120638,0.8127370304114491,0.8962085665215781
29,0.3097661314406871,0.30873383144989563,0.7916435423769127,0.9216597510373444,0.7203268906472954,0.8086500655307994,0.9009227525209935
30,0.30874538954113495,0.31559038146055907,0.7945770237057005,0.8997188378631678,0.747178622389415,0.8163843809793778,0.8976518965671574
31,0.3067171318339593,0.3211189696211612,0.7951320066597954,0.9017087317761404,0.746140874302763,0.8165814877910278,0.8963168592588016
32,0.30559400297835,0.3229372266349913,0.7910092761436613,0.8902908139713802,0.7505513036710338,0.8144707207207207,0.8912670557093391
33,0.30437792355253157,0.32157374824316576,0.7919606754935384,0.8932714617169374,0.7491244000518874,0.8148723013969239,0.8960783454308718
34,0.30552420146646386,0.30488078259403195,0.7931499246808849,0.9258517034068137,0.7191594240498119,0.8095203329196174,0.9044117545920458
35,0.3021045430634388,0.32485958642644597,0.8018710853880916,0.8734231651376146,0.790374886496303,0.8298263534218591,0.8985581538876298
36,0.30420096274966485,0.31063114676294445,0.7934670577975105,0.9137483787289234,0.7310935270463095,0.8122793110902933,0.9037131553403503
37,0.30216601155197137,0.35435888472991656,0.7392372948545152,0.9333333333333333,0.6174601115579194,0.743227418221563,0.8740541975788558
38,0.30342254727961904,0.30618563233344254,0.8035360342503766,0.8884598247437991,0.775976131794007,0.8284171167428334,0.9024974543006766
39,0.29928675745384176,0.324622436862769,0.7707920399587727,0.9386380189366351,0.66869892333636,0.7810014392849026,0.8957345940223256
40,0.2995620518087539,0.30233840724288286,0.7954491397764212,0.9238142455792431,0.7251264755480608,0.8125,0.9056449004436882
41,0.2994857304541586,0.33606550783814887,0.7486720050741299,0.9414510795565065,0.6278375924244389,0.7533073929961089,0.8855188512949738
42,0.3018798988412715,0.30475771195856455,0.7888686276064378,0.9212020033388981,0.715786742768193,0.8056062486312869,0.9038754621883238
43,0.2989115804275122,0.32565950076979927,0.7994133037342425,0.8635406429875052,0.7978985601245298,0.8294228694714132,0.9014525642894885
44,0.2989741140734321,0.311582157841023,0.7978276381511139,0.8912482936447748,0.7622259696458684,0.8217032582855545,0.9021978902437502
45,0.2999469594603964,0.3118346774785579,0.7931499246808849,0.9159869494290375,0.7283694383188482,0.8114748175446203,0.9048002488352314
46,0.29649690474746876,0.3023290836405528,0.8014746689923096,0.9097779877184695,0.7495135555843819,0.8219061166429588,0.9064764188464702
47,0.2976006049570949,0.31102807463818716,0.7870451121858401,0.9330919123986894,0.701906862109223,0.8011548711874444,0.9023229797294194
48,0.2934933383176479,0.31638642954581364,0.7893443272813764,0.8845919610231425,0.7536645479309898,0.8138964768508791,0.8984290569887489
49,0.295919324559548,0.3088952650964449,0.8022675017838737,0.9104360144813474,0.7502918666493709,0.8226425828473901,0.9057290428953509
50,0.2923370784215395,0.2991313729340894,0.7895821771188456,0.9322729604925603,0.7070956025424828,0.8042195337857775,0.9080632222205058
51,0.2952049412417973,0.30411388605267187,0.8044874336002537,0.9058677813903081,0.758983006875081,0.8259457933370977,0.9053406280068825
52,0.29374609977391136,0.3061335491464485,0.7981447712677396,0.9150988904968644,0.7382280451420418,0.8172027570361861,0.9069519255369193
53,0.2946483484957985,0.311347594824207,0.7840323475778959,0.9255591599795117,0.7032040472175379,0.799203892083149,0.9033470920305221
54,0.29211337928714504,0.3140003969515615,0.8071830650915722,0.8887579195520848,0.7824620573355818,0.8322295805739515,0.9030403992748459
55,0.29441031914688814,0.29372247398559803,0.8049631332751923,0.9185137936533249,0.747178622389415,0.8240343347639485,0.9112922317868756
56,0.2935702987140537,0.2965009712201508,0.7960041227305161,0.9229249011857708,0.7269425346997016,0.8132936651912053,0.9083398527641998
57,0.28916358849192414,0.3118285515027333,0.7870451121858401,0.9350424389398926,0.7002205214684135,0.80077139890224,0.9057379438494486
58,0.28982263866544705,0.3137949092997403,0.8052802663918179,0.9001980801462746,0.7663769619924763,0.827914798206278,0.9072756002020476
59,0.29192210144192116,0.30326581648256207,0.7912471259811306,0.9351851851851852,0.7074847580749773,0.8055535041725131,0.9079235314668962
60,0.2868996008211588,0.2951988292751905,0.8059938159042258,0.9101964452759589,0.7572966662342716,0.8267365290660624,0.9104804065797123
61,0.2882441164833815,0.3070073707312157,0.7792753508285103,0.9384012818230372,0.6837462705928136,0.7910850968032418,0.9048356013616846
62,0.2891557736973792,0.30662455079204676,0.786490129231745,0.9392294220665499,0.6956803735893112,0.7993144049482077,0.9086613319488228
63,0.28907572881489857,0.2985606093384043,0.8034567509712202,0.9252032520325203,0.7380983266312102,0.8211270654448373,0.9105684903156561
64,0.28663669637667494,0.2959629773256616,0.8082930309997621,0.9176006314127861,0.7540537034634842,0.8278268299629735,0.910953889724876
65,0.29112518936262005,0.2975779843622748,0.7930706414017283,0.9307315424902856,0.7146192761707095,0.808482535955386,0.9078015500409788
66,0.2848386281408002,0.30508738714682904,0.7832395147863316,0.9314830875975716,0.6965884031651317,0.7970906931868784,0.908419551351707
67,0.2869433040016502,0.30191097995619987,0.8053595496709743,0.9042782394582949,0.7622259696458684,0.8271978602097557,0.90948207133587
68,0.28529304618040946,0.32404690428012156,0.7757076032664711,0.9354032833690221,0.6799844337787002,0.7875009389318711,0.8941873489747476
69,0.2871987803759797,0.30166135970267316,0.8040910172044716,0.9133522727272727,0.7506810221818654,0.824065503737985,0.9107410339221313
70,0.285761891200203,0.3054317197184774,0.8104336795369856,0.9169018501097522,0.7585938513425866,0.8302690423794988,0.9095637273397316
71,0.28440016464250906,0.3144495232007172,0.8145564100531199,0.8926586721263527,0.7918017901154495,0.8392108338489036,0.9119785707347845
72,0.28650330192923146,0.2986425182628858,0.7889479108855942,0.9350112049646613,0.7035932027500325,0.8029607698001481,0.9103698654588386
73,0.2839280074804754,0.2945303112952204,0.8018710853880916,0.9295844327176781,0.731223245557141,0.8185580483554781,0.9116575280011054
74,0.28148359338848983,0.3032415849262778,0.8114643621660191,0.9083805730044431,0.7691010507199377,0.8329586962629952,0.9116456115677594
75,0.28422628913174963,0.30721936100457287,0.8036946008086895,0.918171647754515,0.7452328447269425,0.8227123013031649,0.9091874404971878
