epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc_roc
1,0.5274646217175835,0.502636524091793,0.7452486537852392,0.7745230769230769,0.8196144829382652,0.7964310573941656,0.8185215399633217
2,0.49924352623008306,0.5000345068830478,0.7454070319923979,0.7631796202382356,0.8427976035425893,0.8010150399207774,0.820132478733677
3,0.491654032913407,0.4942514796045762,0.7446151409566044,0.7712927988302668,0.8244334462099505,0.7969782813975449,0.8239584435130148
4,0.48182227408625206,0.5173023855596592,0.7450110864745011,0.7502245172878311,0.8704089606668404,0.8058603641625467,0.8177861316999113
5,0.43224016568230167,0.5849675374742173,0.7004276211593284,0.7974644875515503,0.6799947903099766,0.7340597539543058,0.7802990572565983
6,0.37362159108737847,0.6350901229719667,0.7214127336078555,0.7290748898678414,0.8622036988799167,0.7900704141305646,0.7895001328734073
7,0.34784268958476305,0.672159648776243,0.7001900538485905,0.7844197603040047,0.6990101588955457,0.7392561983471074,0.7725300675417894
8,0.3322013346870094,0.6918892943882383,0.7138897687678175,0.7262607146832907,0.849700442823652,0.7831462697317088,0.782288527367975
9,0.3181952715204194,0.7339938869620629,0.7207000316756415,0.7233882251641374,0.8753581661891118,0.7921503918910955,0.7838079545125651
10,0.30478641832068737,0.7524999541752895,0.7203040861577447,0.7301287744227354,0.8566032821047148,0.7883255423708498,0.7804083818123932
11,0.2958615684920459,0.7246150800214102,0.7093759898637947,0.7657120127287191,0.7521489971346705,0.7588699080157687,0.7724167567837794
12,0.28918808194496826,0.7304779455375185,0.7153943617358252,0.7595322826639552,0.7783276895024746,0.768815129293709,0.7776586653195146
13,0.2799773470520037,0.7202249815281557,0.7040703199239785,0.7502857868665058,0.7693409742120344,0.7596939103594624,0.7636767913571769
