epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc_roc,lr
1,0.6258249623315494,0.5866916540774364,0.7403389293633196,0.7272915159656919,0.9166449596249023,0.8110630942091617,0.8379173474784312,0.001
2,0.5800929128020517,0.5782528086695112,0.7485745961355718,0.7280923918549286,0.9360510549622297,0.8190780101430281,0.8415879029945194,0.001
3,0.5717373003517718,0.56958045413529,0.7469908140639848,0.7241724172417242,0.9430841364938786,0.8192566611981671,0.8476220133083899,0.001
4,0.5651445852292768,0.5643122417469143,0.7537218878682294,0.7311740890688259,0.940870018233915,0.8228727645517713,0.8516295542031411,0.001
5,0.5589383594018986,0.5642644872535256,0.7696388976876781,0.7626969262972347,0.901667100807502,0.8263801850193971,0.8552768502950843,0.001
6,0.5522680124304499,0.5496319742205397,0.758869179600887,0.7328842867196139,0.9494660067725971,0.8272340425531914,0.8586331273137733,0.001
7,0.5416309949526678,0.5292435834022192,0.7743110547988596,0.75177304964539,0.9387861422245376,0.8349357118035445,0.8707967668347976,0.001
8,0.5225650625939591,0.5130761963718202,0.7797751029458346,0.7566292841421235,0.9402188069809846,0.8384923630872873,0.8807247257677058,0.001
9,0.5026350614400105,0.5240727319460796,0.7988596769084574,0.8099662162162162,0.874316228184423,0.8409119378679695,0.8819277037107202,0.001
10,0.49136728411033725,0.5013554481702946,0.7866645549572379,0.7667523014343823,0.9329252409481635,0.8417156286721504,0.8880628241256008,0.001
11,0.48075090965493233,0.499017646179746,0.8016312955337346,0.8014217457172824,0.8956759572805418,0.8459314841011132,0.890644357090046,0.001
12,0.47521111664983307,0.5014367349519973,0.7962464364903389,0.7824499280734757,0.9209429538942433,0.8460664074184864,0.8891317577967748,0.001
13,0.4700582254253875,0.5067820841416395,0.7897529299968324,0.7707232941683734,0.9312320916905444,0.8434090238867591,0.8904313386535319,0.001
14,0.4641724726539345,0.49903629013027906,0.7943458980044346,0.7795136978765541,0.9227663454024485,0.8451124232122622,0.8920277534395795,0.001
15,0.45912938433387473,0.49710734485818814,0.8041653468482737,0.8025810952214859,0.8990622557957801,0.8480864917992506,0.8913510725909788,0.001
16,0.45685402873487735,0.5070241876493657,0.7989388660120368,0.7908977697271595,0.9098723625944256,0.846223729634789,0.8928850763430082,0.001
17,0.45422976711828655,0.49320188387838976,0.8052739942983845,0.7996325640142381,0.9070070330815316,0.8499420272166962,0.8944650332446634,0.001
18,0.4518441761720067,0.507894870291393,0.7933956287614824,0.7812673399178781,0.9169054441260746,0.8436694828929234,0.8895574920867967,0.001
19,0.44843990061969086,0.517367797795524,0.8029775102945834,0.8153098420413123,0.8739255014326648,0.8436007040482776,0.8887879577225761,0.001
20,0.4450329964206383,0.5104488958287908,0.798305353183402,0.7854678980749972,0.9193800468872102,0.8471647164716472,0.8922202620105719,0.001
21,0.4435158105367566,0.5107940891498898,0.7920494140006336,0.7710300429184549,0.9359208127116436,0.8455112366160725,0.8927585440231963,0.001
22,0.4420779403581154,0.5083256189960025,0.7950585999366487,0.7820257092198581,0.919119562386038,0.8450484971859658,0.890740486395605,0.001
23,0.4415265230636415,0.5277380017351504,0.788961038961039,0.7639810426540284,0.9447772857514978,0.8448145344436033,0.8939866626673088,0.0005
24,0.4225616564768389,0.5080369044142433,0.7949794108330693,0.7760060744115413,0.9317530606928888,0.8467775344735752,0.8940108824636045,0.0005
25,0.4180203481706353,0.505381833639326,0.8106588533417801,0.8080643281668803,0.903099765563949,0.8529429854234578,0.8954420079934537,0.0005
26,0.41855039560788143,0.5271401211996621,0.7948210326259106,0.7734652187936781,0.9369627507163324,0.8473997290770953,0.8930923193908347,0.0005
27,0.4157747208645888,0.533545662476858,0.8025815647766867,0.8135962259586307,0.8760093774420422,0.8436500470366887,0.8903205274942707,0.0005
28,0.41393078548548534,0.5133150472765482,0.8064618308520748,0.8021242207342415,0.9049231570721542,0.8504283965728274,0.8939629296349797,0.0005
29,0.4133993426334704,0.5339681119292597,0.8091542603737726,0.8285928143712575,0.8650690283928106,0.8464381292213585,0.8916308697814299,0.0005
30,0.4121988793721175,0.5444235419689477,0.8028191320874247,0.8286040030402838,0.8519145610836155,0.8400976110968404,0.8901728275197929,0.0005
31,0.4118236852449376,0.5338207428732628,0.8036110231232182,0.8126052441664662,0.8799166449596248,0.8449224612306153,0.8911641420719305,0.00025
32,0.40345853832051515,0.5276370435858829,0.80582831802344,0.8041201117318436,0.8998437092992967,0.8492931776275353,0.8936863161439872,0.00025
33,0.3992430473888315,0.5317827127590964,0.8049572378840671,0.8009927276924853,0.9037509768168794,0.8492748301817514,0.893293839673105,0.00025
34,0.3991333289271449,0.5357320740347422,0.8025023756731073,0.7924187725631769,0.914821568116697,0.8492322572844879,0.8929919276116203,0.00025
35,0.3996250195678405,0.5353272966568983,0.8065410199556541,0.811718470882458,0.8877311799947903,0.8480248833592535,0.8922754110524364,0.00025
